"Source:","/home/marc-antoine/Bureau/Maitrîse/t-top_ws/src/t-top/PCB/buck_boost/buck_boost.kicad_sch"
"Date:","lun 17 avr 2023 14:18:07"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"8","1","C14","27nF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"9","1","C15","NI","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"10","1","C17","4.7µF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"11","1","C19","470µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"12","4","C20, C21, C22, C23","22µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"13","2","D2, D3","SS2040LL","Device:D_Schottky","Diode_SMD:D_SOD-123F","~"
"14","1","D5","LED","Device:LED","Diode_SMD:D_0805_2012Metric","~"
"15","1","J1","VIN 10-24V","Connector:Conn_01x02_Male","t-top:OSTTA020161","~"
"16","4","J2, J3, J4, J5","VOUT","Connector:Conn_01x02_Male","t-top:OSTTA020161","~"
"17","1","JP1","Jumper","Device:Jumper","Resistor_SMD:R_1206_3216Metric",""
"18","1","L1","15µH (PQ2617BHA-150K)","Device:L","t-top:PQ2617BHA-150K","~"
"19","1","L2","1µH (PA4987.102HLT)","Device:L","t-top:PA4987.XXXHL","~"
"20","5","Q1, Q2, Q3, Q4, Q5","TK1R4S04PB","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~"
"21","1","R1","412k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"22","1","R2","80.6k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"23","1","R3","0.003/1W","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"24","1","R4","12k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"25","1","R5","309k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"26","3","R6, R8, R10","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"27","1","R7","RIS","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"28","1","R9","FB3","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"29","1","R11","301","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"30","1","R12","0","Device:R","Resistor_SMD:R_1206_3216Metric","~"
"31","1","RV1","V27ZA2P","Device:Varistor","Varistor:RV_Disc_D12mm_W4.2mm_P7.5mm","~"
"32","1","RV2","20k","Device:R_POT","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"33","1","U1","LTC4359-MS8","Power_Management:LTC4359-MS8","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ltc4359.pdf"
"34","1","U2","LT8392","t-top:LT8392","Package_SO:TSSOP-28-1EP_4.4x9.7mm_P0.65mm",""
