"Source:","/home/marc-antoine/Bureau/Maitrîse/t-top_ws/src/t-top/PCB/dynamixel_control/dynamixel_control.kicad_sch"
"Date:","sam 05 nov 2022 14:35:53"
"Tool:","Eeschema 6.0.9-8da3e8f707~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","71"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"15","1","Q2","IPD068P03L3GATMA1","Device:Q_PMOS_GDS","Package_TO_SOT_SMD:TO-252-2","~"
"16","1","Q3","T2N7002AK","Device:Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","~"
"17","5","R1, R2, R3, R4, R12","10k","Device:R","","~"
"18","4","R5, R15, R16, R18","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"19","1","R6","511","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"20","2","R7, R8","2.2k","Device:R","","~"
"21","1","R9","NI","Device:R","","~"
"22","1","R10","0","Device:R","","~"
"23","2","R11, R13","10","Device:R","","~"
"24","1","R14","47","Device:R","","~"
"25","1","R17","825","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"26","1","SW1","LIMIT_SWITCH","Switch:SW_SPST","","~"
"27","1","SW2","BUTTON","Switch:SW_SPST","","~"
"28","1","U1","R-78E5.0-0.5","t-top:R-78E5.0-0.5","",""
"29","1","U2","74HC2G14","t-top:74HC2G14","","https://assets.nexperia.com/documents/data-sheet/74HC_HCT2G14.pdf"
"30","1","U3","LM810M3-4.63","t-top:LM810","Package_TO_SOT_SMD:SOT-23",""
"31","1","U4","Teensy_4.0","t-top:Teensy_4.0","",""
"32","1","U5","MAX3221E","t-top:MAX3221E","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
"33","1","U6","ICM-40627","t-top:ICM-40627","",""
"34","1","U7","74LVC2G34","t-top:74LVC2G34","","https://assets.nexperia.com/documents/data-sheet/74LVC2G34.pdf"
"35","1","U8","SN74LVC2G241","t-top:SN74LVC2G241","",""
"36","1","U9","SP481E","t-top:SP481E","",""
